college,state,division,type
Saint Louis University,MO,Division I,Private
Southeast Missouri State University,MO,Division I,Public
University of Missouri–Columbia[N 22],MO,Division I,Public
University of Missouri–Kansas City,MO,Division I,Public
Alcorn State University,MS,Division I,Public
Jackson State University,MS,Division I,Public
Mississippi State University,MS,Division I,Public
Mississippi Valley State University,MS,Division I,Public
The University of Mississippi,MS,Division I,Public
University of Southern Mississippi,MS,Division I,Public
Montana State University,MT,Division I,Public
University of Montana,MT,Division I,Public
Appalachian State University,NC,Division I,Public
Campbell University,NC,Division I,Private
Davidson College,NC,Division I,Private
Duke University,NC,Division I,Private
East Carolina University,NC,Division I,Public
Elon University,NC,Division I,Private
Gardner–Webb University,NC,Division I,Private
High Point University,NC,Division I,Private
North Carolina Agricultural and Technical State University,NC,Division I,Public
North Carolina Central University,NC,Division I,Public
North Carolina State University,NC,Division I,Public
Queens University of Charlotte,NC,Division I,Private
University of North Carolina at Asheville,NC,Division I,Public
University of North Carolina at Chapel Hill,NC,Division I,Public
University of North Carolina at Charlotte,NC,Division I,Public
University of North Carolina at Greensboro,NC,Division I,Public
University of North Carolina at Wilmington,NC,Division I,Public
Wake Forest University,NC,Division I,Private
Western Carolina University,NC,Division I,Public
North Dakota State University of Agriculture and Applied Sciences,ND,Division I,Public
University of North Dakota,ND,Division I,Public
Creighton University,NE,Division I,Private
University of Nebraska Omaha,NE,Division I,Public
University of Nebraska–Lincoln,NE,Division I,Public
Dartmouth College,NH,Division I,Private
University of New Hampshire,NH,Division I,Public
Fairleigh Dickinson University,NJ,Division I,Private
Monmouth University,NJ,Division I,Private
New Jersey Institute of Technology,NJ,Division I,Public
Princeton University,NJ,Division I,Private
Rider University,NJ,Division I,Private
Rutgers University–New Brunswick,NJ,Division I,Public
Saint Peter's University,NJ,Division I,Private
Seton Hall University,NJ,Division I,Private
New Mexico State University,NM,Division I,Public
The University of New Mexico,NM,Division I,Public
"University of Nevada, Las Vegas",NV,Division I,Public
"University of Nevada, Reno",NV,Division I,Public
Canisius University,NY,Division I,Private
Colgate University,NY,Division I,Private
Columbia University in the City of New York,NY,Division I,Private
Cornell University,NY,Division I,Private
Fordham University,NY,Division I,Private
Hofstra University,NY,Division I,Private
Iona University,NY,Division I,Private
Long Island University,NY,Division I,Private
Manhattan University,NY,Division I,Private
Marist College,NY,Division I,Private
Niagara University,NY,Division I,Private
Saint Bonaventure University,NY,Division I,Private
Saint John's University,NY,Division I,Private
Siena College,NY,Division I,Private
State University of New York at Albany[N 11],NY,Division I,Public
State University of New York at Binghamton[N 13],NY,Division I,Public
State University of New York at Buffalo[N 14],NY,Division I,Public
State University of New York at Stony Brook[N 15],NY,Division I,Public
Syracuse University,NY,Division I,Private
United States Military Academy,NY,Division I,Federal
Wagner College,NY,Division I,Private
Bowling Green State University,OH,Division I,Public
Cleveland State University,OH,Division I,Public
Kent State University,OH,Division I,Public
Miami University,OH,Division I,Public
The Ohio State University,OH,Division I,Public
The Ohio University,OH,Division I,Public
The University of Akron,OH,Division I,Public
University of Cincinnati,OH,Division I,Public
University of Dayton,OH,Division I,Private
University of Toledo,OH,Division I,Public
Wright State University,OH,Division I,Public
Xavier University,OH,Division I,Private
Youngstown State University,OH,Division I,Public
Oklahoma State University–Stillwater,OK,Division I,Public
Oral Roberts University,OK,Division I,Private
The University of Tulsa,OK,Division I,Private
University of Oklahoma,OK,Division I,Public
Oregon State University,OR,Division I,Public
Portland State University,OR,Division I,Public
University of Oregon,OR,Division I,Public
University of Portland,OR,Division I,Private
Bucknell University,PA,Division I,Private
Drexel University,PA,Division I,Private
Duquesne University of the Holy Spirit,PA,Division I,Private
La Salle University,PA,Division I,Private
Lafayette College,PA,Division I,Private
Lehigh University,PA,Division I,Private
Robert Morris University,PA,Division I,Private
Saint Francis University[C 6],PA,Division I,Private
Saint Joseph's University,PA,Division I,Private
Temple University,PA,Division I,Public[O 3]
The Pennsylvania State University,PA,Division I,Public[O 3]
University of Pennsylvania,PA,Division I,Private
University of Pittsburgh,PA,Division I,Public[O 3]
Villanova University,PA,Division I,Private
Brown University,RI,Division I,Private
Bryant University,RI,Division I,Private
Providence College,RI,Division I,Private
University of Rhode Island,RI,Division I,Public
Charleston Southern University,SC,Division I,Private
Clemson University,SC,Division I,Public
Coastal Carolina University,SC,Division I,Public
College of Charleston,SC,Division I,Public
Furman University,SC,Division I,Private
Presbyterian College,SC,Division I,Private
South Carolina State University,SC,Division I,Public
"The Citadel, The Military College of South Carolina[be]",SC,Division I,Public
University of South Carolina,SC,Division I,Public
University of South Carolina Upstate,SC,Division I,Public
Winthrop University,SC,Division I,Public
Wofford College,SC,Division I,Private
South Dakota State University,SD,Division I,Public
University of South Dakota,SD,Division I,Public
Austin Peay State University,TN,Division I,Public
Belmont University,TN,Division I,Private
East Tennessee State University,TN,Division I,Public
Lipscomb University,TN,Division I,Private
Middle Tennessee State University,TN,Division I,Public
Tennessee State University,TN,Division I,Public
Tennessee Technological University,TN,Division I,Public
The University of Tennessee at Chattanooga,TN,Division I,Public
The University of Tennessee at Martin,TN,Division I,Public
"The University of Tennessee, Knoxville",TN,Division I,Public
University of Memphis,TN,Division I,Public
Vanderbilt University,TN,Division I,Private
Abilene Christian University,TX,Division I,Private
Baylor University,TX,Division I,Private
East Texas A&M University,TX,Division I,Public
Houston Christian University,TX,Division I,Private
Lamar University,TX,Division I,Public
Prairie View A&M University,TX,Division I,Public
Sam Houston State University,TX,Division I,Public
Southern Methodist University,TX,Division I,Private
Stephen F. Austin State University[N 16],TX,Division I,Public
Tarleton State University,TX,Division I,Public
Texas A&M University,TX,Division I,Public
Texas A&M University–Corpus Christi,TX,Division I,Public
Texas Christian University,TX,Division I,Private
Texas Southern University,TX,Division I,Public
Texas State University,TX,Division I,Public
Texas Tech University,TX,Division I,Public
The University of Texas Rio Grande Valley,TX,Division I,Public
The University of Texas at Arlington,TX,Division I,Public
The University of Texas at Austin,TX,Division I,Public
The University of Texas at El Paso,TX,Division I,Public
The University of Texas at San Antonio,TX,Division I,Public
University of Houston,TX,Division I,Public
University of North Texas,TX,Division I,Public
University of the Incarnate Word,TX,Division I,Private
William Marsh Rice University,TX,Division I,Private
Brigham Young University,UT,Division I,Private
Southern Utah University,UT,Division I,Public
University of Utah,UT,Division I,Public
Utah State University,UT,Division I,Public
Utah Tech University,UT,Division I,Public
Utah Valley University,UT,Division I,Public
Weber State University,UT,Division I,Public
George Mason University,VA,Division I,Public
Hampton University,VA,Division I,Private
James Madison University,VA,Division I,Public
Liberty University,VA,Division I,Private
Longwood University,VA,Division I,Public
Norfolk State University,VA,Division I,Public
Old Dominion University,VA,Division I,Public
Radford University,VA,Division I,Public
The College of William and Mary in Virginia,VA,Division I,Public
University of Richmond,VA,Division I,Private
University of Virginia,VA,Division I,Public
Virginia Commonwealth University,VA,Division I,Public
Virginia Military Institute[be],VA,Division I,Public
Virginia Polytechnic Institute and State University,VA,Division I,Public
The University of Vermont and State Agricultural College,VT,Division I,Public
Eastern Washington University,WA,Division I,Public
Gonzaga University,WA,Division I,Private
Seattle University,WA,Division I,Private
University of Washington,WA,Division I,Public
Washington State University,WA,Division I,Public
Marquette University,WI,Division I,Private
University of Wisconsin–Green Bay,WI,Division I,Public
University of Wisconsin–Madison,WI,Division I,Public
University of Wisconsin–Milwaukee,WI,Division I,Public
Marshall University,WV,Division I,Public
West Virginia University,WV,Division I,Public
University of Wyoming,WY,Division I,Public
West Virginia Wesleyan College,"1,041",Division II,Mountain East Conference
Mars Hill University,"1,049",Division II,South Atlantic Conference
Goldey-Beacom College,"1,074",Division II,Central Atlantic Collegiate Conference
Dominican University New York,"1,083",Division II,Central Atlantic Collegiate Conference
Tusculum University,"1,105",Division II,South Atlantic Conference
Erskine College,"1,132",Division II,Conference Carolinas
Westminster University,"1,155",Division II,Rocky Mountain Athletic Conference
Wheeling University,"1,171",Division II,Mountain East Conference
Franklin Pierce University,"1,172",Division II,Northeast-10 Conference
Edward Waters University,"1,177",Division II,Southern Intercollegiate Athletic Conference
Quincy University,"1,192",Division II,Great Lakes Valley Conference
Mansfield University of Pennsylvania,"1,195",Division II,Pennsylvania State Athletic Conference
Ohio Dominican University,"1,209",Division II,Great Midwest Athletic Conference
Barton College,"1,235",Division II,Conference Carolinas
Lake Erie College,"1,236",Division II,Great Midwest Athletic Conference
Catawba College,"1,241",Division II,South Atlantic Conference
Coker University,"1,263",Division II,South Atlantic Conference
Malone University,"1,268",Division II,Great Midwest Athletic Conference
Emory & Henry University,"1,292",Division II,South Atlantic Conference
King University,"1,295",Division II,Conference Carolinas
Johnson C. Smith University,"1,302",Division II,Central Intercollegiate Athletic Association
Westmont College,"1,312",Division II,Pacific West Conference
Bluefield State University,"1,313",Division II,Central Intercollegiate Athletic Association
Saint Michael's College,"1,370",Division II,Northeast-10 Conference
Chestnut Hill College,"1,417",Division II,Central Atlantic Collegiate Conference
Shorter University,"1,447",Division II,Conference Carolinas
Jessup University,"1,484",Division II,Pacific West Conference
Miles College,"1,489",Division II,Southern Intercollegiate Athletic Conference
Saint Martin's University,"1,505",Division II,Great Northwest Athletic Conference
Newberry College,"1,521",Division II,South Atlantic Conference
Oklahoma Baptist University,"1,569",Division II,Great American Conference
Hillsdale College,"1,573",Division II,Great Midwest Athletic Conference
Lubbock Christian University,"1,595",Division II,Lone Star Conference
Roberts Wesleyan University,"1,619",Division II,East Coast Conference
University of Sioux Falls,"1,624",Division II,Northern Sun Intercollegiate Conference
Northwest Nazarene University,"1,646",Division II,Great Northwest Athletic Conference
Lake Superior State University,"1,669",Division II,Great Lakes Intercollegiate Athletic Conference
Belmont Abbey College,"1,687",Division II,Conference Carolinas
University of Minnesota Crookston,"1,729",Division II,Northern Sun Intercollegiate Conference
"Pennsylvania Western University, Clarion","1,743",Division II,Pennsylvania State Athletic Conference
Benedict College,"1,746",Division II,Southern Intercollegiate Athletic Conference
Glenville State University,"1,772",Division II,Mountain East Conference
Virginia Union University,"1,783",Division II,Central Intercollegiate Athletic Association
University of Pittsburgh at Johnstown,"1,809",Division II,Pennsylvania State Athletic Conference
Christian Brothers University,"1,813",Division II,Gulf South Conference
Dominican University of California,"1,818",Division II,Pacific West Conference
Thomas More University,"1,844",Division II,Great Midwest Athletic Conference
Lincoln University (PA),"1,848",Division II,Central Intercollegiate Athletic Association
Ouachita Baptist University,"1,858",Division II,Great American Conference
Eckerd College,"1,893",Division II,Sunshine State Conference
Georgian Court University,"1,910",Division II,Central Atlantic Collegiate Conference
