chapter_name,university,city,state_province,country,region
Theta Zeta,Bridgewater State University,Bridgewater,MA,United States,Boston Harbor
Upsilon Upsilon,University of Washington,Seattle,WA,United States,Northwestern
Xi,DePauw University,Greencastle,IN,United States,Central Indiana
Zeta,Washington & Lee University,Lexington,VA,United States,Western Virginia
Zeta Eta,Texas A&M University-Commerce,Commerce,TX,United States,Northern Texas
Zeta Iota,Pittsburg State University,Pittsburg,KS,United States,Kansas/Nebraska
Zeta Kappa,University of California-Santa Barbara,Goleta,CA,United States,Los Angeles Coastal
Zeta Lambda,Kent State University,Kent,OH,United States,Northern Ohio
Zeta Mu,Western Kentucky University,Bowling Green,KY,United States,Mid-South
Zeta Nu,Western Michigan University,Kalamazoo,MI,United States,West Michigan
Zeta Omega,East Tennessee State University,Johnson City,TN,United States,East Tennessee
Zeta Omicron,Northern Arizona University,Flagstaff,AZ,United States,Grand Canyon
Zeta Phi,New Mexico State University,Las Cruces,NM,United States,Southwestern
Zeta Pi,Texas A&M University-Kingsville,Kingsville,TX,United States,Central Texas
Zeta Psi,University of Cincinnati,Cincinnati,OH,United States,Southern Ohio
Zeta Tau,Fort Hays State University,Hays,KS,United States,Kansas/Nebraska
Zeta Theta A,Kettering University,Flushing,MI,United States,East Michigan
Zeta Theta B,Kettering University,Flushing,MI,United States,East Michigan
Zeta Upsilon,The College of William & Mary,Williamsburg,VA,United States,Eastern Virginia
Zeta Zeta,Centre College,Danville,KY,United States,Central Kentucky
