College,Sorority Name,Instagram Handle
"Auburn University","Sigma Kappa",""
"Auburn University","Alpha Xi Delta",""
"Auburn University","Sigma Sigma Sigma",""
"Auburn University","Alpha Gamma Delta",""
"Auburn University","Alpha Omicron Pi",""
"Auburn University","Zeta Phi Beta",""
"Auburn University","Alpha Chi Omega",""
"Auburn University","Delta Zeta",""
"Auburn University at Montgomery","",""
"Augusta University","Alpha Kappa Alpha",""
"Augusta University","Zeta Tau Alpha",""
"Augusta University","Zeta Phi Beta",""
"Augusta University","Delta Sigma Theta",""
"Augusta University","Alpha Delta Pi",""
"Aurora University","Sigma Gamma Rho",""
"Austin College","Delta Sigma Theta",""
"Austin College","Zeta Tau Alpha",""
"Austin College","Zeta Phi Beta",""
"Austin College","Alpha Chi Omega",""
"Austin College","Alpha Kappa Alpha",""
"Austin College","Delta Delta Delta",""
"Austin College","Chi Omega",""
"Austin College","Delta Zeta",""
"Austin Peay State University","",""
"Austin Peay State University","Sigma Gamma Rho",""
"Austin Peay State University","Alpha Delta Pi",""
"Austin Peay State University","Alpha Sigma Alpha",""
"Austin Peay State University","Zeta Phi Beta",""
"Austin Peay State University","Alpha Gamma Delta",""
"Austin Peay State University","Alpha Omicron Pi",""
"Austin Peay State University","Chi Omega",""
"Babson College","Sigma Kappa",""
"Babson College","Chi Omega",""
"Babson College","Kappa Kappa Gamma",""
"Baldwin Wallace University","Alpha Kappa Alpha",""
"Baldwin Wallace University","Alpha Gamma Delta",""
"Baldwin Wallace University","Delta Zeta",""
"Baldwin Wallace University","Alpha Phi",""
"Baldwin Wallace University","Phi Mu",""
"Baldwin Wallace University","Delta Sigma Theta",""
"Baldwin Wallace University","Zeta Tau Alpha",""
"Ball State University","Phi Mu",""
"Ball State University","Alpha Gamma Delta",""
"Ball State University","Pi Beta Phi",""
"Ball State University","Chi Omega",""
"Ball State University","",""
"Ball State University","Delta Zeta",""
"Ball State University","Sigma Gamma Rho",""
"Ball State University","Alpha Chi Omega",""
"Ball State University","Alpha Omicron Pi",""
"Ball State University","Kappa Delta",""
"Ball State University","Sigma Kappa",""
"Ball State University","Alpha Phi",""
"Barry University","Phi Sigma Sigma",""
"Barry University","Alpha Phi",""
"Barton College","Sigma Sigma Sigma",""
"Barton College","Delta Zeta",""
"Baylor University","Delta Sigma Chi",""
"Baylor University","",""
"Bellarmine University","Phi Mu",""
"Belmont University","",""
"Beloit College","",""
"Benedict College","Alpha Kappa Alpha",""
"Benedict College","Delta Sigma Theta",""
"Benedict College","Zeta Phi Beta",""
"Benedict College","Sigma Gamma Rho",""
"Bentley University","Alpha Phi",""
"Bentley University","Phi Sigma Sigma",""
"Bentley University","Kappa Delta",""
"Bentley University","",""
"Bentley University","Delta Phi Epsilon",""
"Bentley University","Gamma Phi Beta",""
"Berry College","Kappa Delta",""
"Berry College","Zeta Phi Beta",""
"Berry College","Sigma Sigma Sigma",""
"Berry College","Alpha Xi Delta",""
"Bethel University","Delta Sigma Theta",""
"Bethel University","Alpha Gamma Delta",""
"Bethel University","Phi Mu",""
"Bethel University","Kappa Delta",""
"Bethel University","Alpha Delta Pi",""
"Bethel University","Zeta Phi Beta",""
"Bethel University","Delta Phi Epsilon",""
"Bethel University","Kappa Alpha Theta",""
"Bethel University","Alpha Sigma Tau",""
"Bethel University","Sigma Alpha Omega",""
"Birmingham-Southern College","",""
"Boise State University","Alpha Pi Sigma",""
"Boise State University","Alpha Gamma Delta",""
"Boise State University","Sigma Lambda Gamma",""
"Boise State University","Alpha Omicron Pi",""
"Boise State University","Delta Delta Delta",""
"Boise State University","Alpha Sigma Alpha",""
"Boise State University","Zeta Tau Alpha",""
"Boise State University","Alpha Xi Delta",""
"Boise State University","Lambda Theta Alpha",""
"Boise State University","",""
"Boise State University","Alpha Chi Omega",""
"Boston University","","@busigmachi"
"Boston University","Alpha Phi",""
"Boston University","Sigma Kappa",""
"Boston University","Delta Delta Delta",""
"Boston University","Kappa Alpha Theta",""
"Boston University","Sigma Gamma Rho",""
"Boston University","Alpha Delta Pi",""
"Boston University","Alpha Kappa Delta Phi",""
"Boston University","Delta Gamma",""
"Boston University","Kappa Delta",""
"Boston University","Alpha Kappa Alpha",""
"Boston University","Alpha Epsilon Phi",""
"Boston University","Gamma Phi Beta",""
"Boston University","Sigma Delta Tau",""
"Bowling Green State University","Delta Gamma",""
"Bowling Green State University","",""
"Bowling Green State University","Omega Phi Alpha",""
"Bowling Green State University","Alpha Kappa Alpha",""
"Bowling Green State University","Alpha Chi Omega",""
"Bowling Green State University","Alpha Omicron Pi",""
"Bowling Green State University","Phi Mu",""
"Bowling Green State University","Delta Sigma Theta",""
"Bowling Green State University","Zeta Phi Beta",""
"Bowling Green State University","Sigma Kappa",""
"Bowling Green State University","Delta Zeta",""
"Bowling Green State University","Alpha Xi Delta",""
"Bowling Green State University","Alpha Phi",""
"Bowling Green State University","Chi Omega",""
"Bowling Green State University","Gamma Phi Beta",""
"Bowling Green State University","Alpha Gamma Delta",""
"Bowling Green State University","Kappa Kappa Gamma",""
"Bowling Green State University","Kappa Delta",""
"Bowling Green State University","Pi Beta Phi",""
"Bradley University","Zeta Phi Beta",""
"Bradley University","Chi Omega",""
"Bradley University","Sigma Lambda Gamma",""
"Bradley University","Gamma Phi Beta",""
"Bradley University","Alpha Chi Omega",""
"Bradley University","Sigma Delta Tau",""
"Bradley University","Sigma Gamma Rho",""
"Bradley University","Pi Beta Phi",""
"Bradley University","Kappa Delta",""
"Bradley University","",""
