College,Sorority Name,Instagram Handle
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","Delta Zeta",""
"Georgia Southern University","Alpha Kappa Alpha",""
"Georgia Southern University","Zeta Phi Beta",""
"Georgia Southern University","Delta Phi Epsilon",""
"Georgia Southern University","Kappa Delta",""
"Georgia Southern University","Sigma Lambda Gamma",""
"Georgia Southern University","Sigma Iota Alpha",""
"Georgia Southern University","Kappa Kappa Gamma",""
"Georgia Southern University","Delta Sigma Theta",""
"Georgia Southern University","Zeta Tau Alpha",""
"Georgia Southern University","Phi Mu",""
"Georgia Southern University","Alpha Omicron Pi",""
"Georgia Southern University","Alpha Delta Pi",""
"Georgia Southern University","Chi Omega",""
"Georgia Southwestern State University","Zeta Tau Alpha",""
"Georgia Southwestern State University","",""
"Georgia Southwestern State University","Kappa Delta",""
"Georgia State University","Delta Sigma Theta",""
"Georgia State University","Sigma Gamma Rho",""
"Georgia State University","Alpha Xi Delta",""
"Georgia State University","Phi Mu",""
"Georgia State University","Delta Zeta",""
"Georgia State University","Zeta Tau Alpha",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","Alpha Kappa Alpha",""
"Georgia State University","Alpha Omicron Pi",""
"Georgia State University","",""
"Georgia State University","",""
"Georgia State University","Zeta Phi Beta",""
"Georgia State University","",""
"Georgia State University","Sigma Alpha Omega",""
"Georgia Tech","",""
"Georgia Tech","Alpha Kappa Alpha",""
"Georgia Tech","",""
"Georgia Tech","Phi Mu",""
"Georgia Tech","",""
"Georgia Tech","Zeta Phi Beta",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Omega Phi Alpha",""
"Georgia Tech","Alpha Xi Delta",""
"Georgia Tech","Kappa Alpha Theta",""
"Georgia Tech","",""
"Georgia Tech","Alpha Omega Epsilon",""
"Georgia Tech","Alpha Delta Chi",""
"Georgia Tech","Alpha Delta Pi",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Delta Sigma Theta",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Zeta Tau Alpha",""
"Georgia Tech","Sigma Gamma Rho",""
"Georgia Tech","",""
"Georgia Tech","","@gtsigmachi"
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Alpha Phi",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Alpha Chi Omega",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","",""
"Georgia Tech","Alpha Gamma Delta",""
"Gettysburg College","Sigma Gamma Rho",""
"Gettysburg College","Sigma Sigma Sigma",""
"Gettysburg College","Chi Omega",""
"Gettysburg College","Alpha Omicron Pi",""
"Gettysburg College","Delta Gamma",""
"Gettysburg College","Alpha Delta Pi",""
"Gettysburg College","Gamma Phi Beta",""
"Grand Valley State University","Delta Zeta",""
"Grand Valley State University","Delta Gamma",""
"Grand Valley State University","Phi Sigma Sigma",""
"Grand Valley State University","Phi Mu",""
"Grand Valley State University","Sigma Sigma Sigma",""
"Grand Valley State University","Gamma Phi Beta",""
"Grand Valley State University","Alpha Sigma Alpha",""
"Grand Valley State University","Alpha Sigma Tau",""
"Grand Valley State University","Sigma Kappa",""
"Grand Valley State University","Alpha Omicron Pi",""
"Greensboro College","Delta Sigma Theta",""
"Greensboro College","Sigma Sigma Sigma",""
"Greensboro College","Alpha Kappa Alpha",""
"Greensboro College","Chi Omega",""
"Greensboro College","Alpha Delta Pi",""
"Greensboro College","Alpha Chi Omega",""
"Greensboro College","Zeta Phi Beta",""
"Greensboro College","Sigma Gamma Rho",""
"Gustavus Adolphus College","Alpha Sigma Tau",""
"Gustavus Adolphus College","Sigma Sigma Sigma",""
"Hamilton College","Sigma Lambda Upsilon",""
"Hamilton College","Phi Beta Chi",""
"Hampton University","Zeta Phi Beta",""
"Hampton University","Delta Sigma Theta",""
"Hampton University","Alpha Kappa Alpha",""
"Hanover College","Chi Omega",""
"Hanover College","Alpha Delta Pi",""
"Hanover College","Phi Mu",""
"Hanover College","Kappa Alpha Theta",""
"Hanover College","",""
"Hartwick College","Alpha Omicron Pi",""
"Harvard University","Delta Gamma",""
"Harvard University","",""
"Harvard University","Kappa Kappa Gamma",""
"Harvard University","Alpha Phi",""
"Harvard University","Kappa Alpha Theta",""
"Heidelberg University","Delta Sigma Chi",""
"Henderson State University","Alpha Xi Delta",""
"Henderson State University","Alpha Sigma Tau",""
"Henderson State University","Delta Sigma Theta",""
"Henderson State University","Alpha Sigma Alpha",""
"Henderson State University","Alpha Kappa Alpha",""
"Henderson State University","Zeta Phi Beta",""
"High Point University","Sigma Sigma Sigma",""
"High Point University","Zeta Phi Beta",""
"High Point University","Kappa Delta",""
"High Point University","Alpha Gamma Delta",""
"High Point University","Phi Mu",""
"High Point University","Delta Sigma Theta",""
"High Point University","Alpha Chi Omega",""
"High Point University","Alpha Kappa Alpha",""
"High Point University","Zeta Tau Alpha",""
"Hillsdale College","","@hillsdalesigmachi"
"Hillsdale College","Pi Beta Phi",""
"Hillsdale College","Chi Omega",""
"Hillsdale College","Kappa Kappa Gamma",""
"Hobart College","",""
"Hofstra University","Alpha Phi",""
"Hofstra University","Alpha Theta Beta",""
"Hofstra University","Delta Gamma",""
"Hofstra University","Delta Phi Epsilon",""
"Hofstra University","Phi Sigma Sigma",""
"Hofstra University","Alpha Epsilon Phi",""
"Hofstra University","Sigma Delta Tau",""
"Hope College","Delta Sigma Theta",""
"Houston Christian University","",""
"Howard University","Zeta Phi Beta",""
"Howard University","Phi Sigma Rho",""
"Howard University","Sigma Gamma Rho",""
"Huntingdon College","Phi Mu",""
"Huntingdon College","Chi Omega",""
"Huntingdon College","Alpha Omicron Pi",""
"Husson University","Kappa Delta Phi NAS",""
"Idaho State University","Sigma Sigma Sigma",""
"Idaho State University","",""
"Idaho State University","Alpha Xi Delta",""
"Illinois College","Delta Phi Epsilon",""
"Illinois College","Alpha Xi Delta",""
"Illinois College","Alpha Sigma Tau",""
"Illinois College","Sigma Sigma Sigma",""
"Illinois College","Delta Gamma",""
"Illinois College","Delta Zeta",""
"Illinois College","Alpha Sigma Alpha",""
"Illinois College","Lambda Theta Alpha",""
"Illinois College","Alpha Phi",""
"Illinois College","Phi Sigma Sigma",""
"Illinois College","Sigma Lambda Gamma",""
"Illinois College","Omega Phi Beta",""
"Illinois College","Sigma Kappa",""
"Illinois College","Alpha Kappa Delta Phi",""
"Illinois College","Alpha Kappa Alpha",""
"Illinois College","Sigma Alpha",""
"Illinois College","Pi Beta Phi",""
"Illinois College","Alpha Omicron Pi",""
"Illinois College","Chi Omega",""
"Illinois College","Delta Delta Delta",""
"Illinois College","Alpha Gamma Delta",""
"Illinois College","Kappa Kappa Gamma",""
"Illinois College","Gamma Phi Beta",""
"Illinois College","Zeta Tau Alpha",""
"Illinois College","Delta Sigma Theta",""
"Illinois College","Kappa Delta Chi",""
"Illinois College","Kappa Phi Lambda",""
"Illinois College","Gamma Phi Omega",""
"Illinois College","Alpha Phi Gamma",""
"Illinois College","Zeta Sigma Chi",""
"Illinois College","Zeta Phi Beta",""
"Illinois College","Sigma Gamma Rho",""
"Illinois College","Alpha Delta Pi",""
"Indiana State University","Alpha Sigma Alpha",""
"Indiana State University","Delta Gamma",""
"Indiana State University","Alpha Chi Omega",""
"Indiana State University","Zeta Tau Alpha",""
"Indiana State University","Alpha Omicron Pi",""
"Indiana State University","Sigma Kappa",""
"Indiana State University","Gamma Phi Beta",""
"Indiana State University","Chi Omega",""
"Indiana State University","Alpha Phi",""
"Indiana University","","@iusigmachi"
"Indiana University","Alpha Delta Chi",""
"Indiana University","",""
"Indiana University of Pennsylvania","",""
"Iona University","Phi Sigma Sigma",""
"Iowa State University","","@isusigmachi"
"Iowa State University","Phi Beta Chi",""
"Iowa State University","Zeta Phi Beta",""
"Iowa State University","Alpha Sigma Kappa",""
"Iowa State University","Alpha Phi",""
"Iowa State University","Alpha Omicron Pi",""
"Iowa State University","Kappa Alpha Theta",""
"Iowa State University","Kappa Kappa Gamma",""
"Iowa State University","Delta Gamma",""
"Iowa State University","Sigma Kappa",""
"Iowa State University","Pi Beta Phi",""
"Iowa State University","Alpha Gamma Delta",""
"Iowa State University","Kappa Delta",""
"Iowa State University","Alpha Chi Omega",""
"Iowa State University","Alpha Delta Pi",""
"Iowa State University","Delta Delta Delta",""
"Iowa State University","Gamma Phi Beta",""
"Iowa State University","Chi Omega",""
"Iowa State University","Delta Zeta",""
"Jackson State University","Zeta Phi Beta",""
"Jackson State University","Sigma Gamma Rho",""
"Jackson State University","Alpha Kappa Alpha",""
"Jackson State University","Delta Sigma Theta",""
"Jacksonville State University","Alpha Kappa Alpha",""
"Jacksonville State University","Alpha Xi Delta",""
"Jacksonville State University","Delta Zeta",""
"Jacksonville State University","Zeta Tau Alpha",""
"Jacksonville State University","Alpha Omicron Pi",""
"Jacksonville State University","Phi Mu",""
"Jacksonville State University","Sigma Gamma Rho",""
"Jacksonville State University","Zeta Phi Beta",""
"Jacksonville State University","Delta Sigma Theta",""
"Jacksonville University","Gamma Phi Beta",""
"Jacksonville University","Delta Delta Delta",""
"Jacksonville University","Alpha Epsilon Phi",""
"Jacksonville University","Alpha Delta Pi",""
"Jacksonville University","",""
"James Madison University","Sigma Alpha Epsilon Pi",""
"James Madison University","Delta Sigma Theta",""
"James Madison University","Alpha Kappa Alpha",""
"James Madison University","Delta Delta Delta",""
"James Madison University","Zeta Tau Alpha",""
"James Madison University","Zeta Phi Beta",""
"James Madison University","Alpha Phi",""
"James Madison University","Sigma Gamma Rho",""
"James Madison University","Sigma Alpha Omega",""
"James Madison University","Phi Mu",""
"James Madison University","Delta Gamma",""
"James Madison University","Alpha Delta Pi",""
"James Madison University","Sigma Kappa",""
"James Madison University","Kappa Alpha Theta",""
"James Madison University","Alpha Sigma Tau",""
"James Madison University","Alpha Sigma Alpha",""
"James Madison University","Phi Sigma Sigma",""
"James Madison University","Sigma Sigma Sigma",""
"James Madison University","Gamma Phi Beta",""
"John Carroll University","Gamma Phi Beta",""
"John Carroll University","Kappa Alpha Theta",""
"John Carroll University","Kappa Kappa Gamma",""
"John Carroll University","Chi Omega",""
"John Carroll University","Kappa Delta",""
"Johnson & Wales University","Sigma Sigma Sigma",""
"Johnson & Wales University","Phi Sigma Sigma",""
"Johnson & Wales University","Delta Sigma Theta",""
"Johnson & Wales University","Omega Phi Beta",""
"Johnson & Wales University","Zeta Phi Beta",""
"Johnson & Wales University","Sigma Gamma Rho",""
"Johnson & Wales University","Alpha Sigma Tau",""
"Johnson & Wales University","Delta Phi Epsilon",""
"Johnson & Wales University","Sigma Delta Tau",""
"Johnson & Wales University","Sigma Lambda Upsilon",""
"Johnson & Wales University","Delta Zeta",""
"Kansas State University","",""
"Kean University","Mu Sigma Upsilon",""
"Kean University","Sigma Gamma Rho",""
"Kean University","Theta Phi Alpha",""
"Kean University","Alpha Kappa Alpha",""
"Kean University","Delta Phi Epsilon",""
"Kean University","Zeta Phi Beta",""
"Kean University","Delta Sigma Theta",""
"Keene State College","Phi Sigma Sigma",""
"Keene State College","Delta Phi Epsilon",""
"Keene State College","Delta Xi Phi",""
"Kennesaw State University","Sigma Gamma Rho",""
"Kennesaw State University","Zeta Phi Beta",""
"Kennesaw State University","Delta Sigma Theta",""
"Kennesaw State University","Alpha Kappa Alpha",""
"Kennesaw State University","Zeta Tau Alpha",""
"Kennesaw State University","Omega Phi Alpha",""
"Kennesaw State University","Phi Mu",""
"Kennesaw State University","Sigma Alpha Omega",""
"Kennesaw State University","Alpha Omicron Pi",""
"Kennesaw State University","Gamma Phi Beta",""
"Kennesaw State University","Alpha Xi Delta",""
"Kennesaw State University","Kappa Delta",""
"Kennesaw State University","Delta Phi Epsilon",""
"Kent State University","Alpha Phi",""
"Kent State University","Chi Omega",""
"Kent State University","Delta Gamma",""
"Kent State University","Sigma Gamma Rho",""
"Kent State University","Delta Sigma Theta",""
"Kent State University","Zeta Phi Beta",""
"Kent State University","Phi Mu",""
"Kent State University","Sigma Delta Tau",""
"Kent State University","Sigma Sigma Sigma",""
"Kent State University","Alpha Xi Delta",""
"Kent State University","Delta Zeta",""
"Kenyon College","Alpha Sigma Tau",""
"Knox College","Kappa Kappa Gamma",""
"Knox College","Pi Beta Phi",""
"Knox College","Kappa Delta",""
"Knox College","Alpha Sigma Alpha",""
"Knox College","Delta Delta Delta",""
"Knox College","Delta Zeta",""
"Knox College","Zeta Tau Alpha",""
"Knox College","Alpha Omicron Pi",""
"Knox College","Sigma Kappa",""
"Knox College","Delta Gamma",""
"Knox College","Alpha Chi Omega",""
"Knox College","Alpha Kappa Alpha",""
"Knox College","Phi Mu",""
"Knox College","Zeta Phi Beta",""
"Knox College","Alpha Delta Pi",""
"Knox College","Chi Omega",""
"Knox College","Delta Sigma Theta",""
"Knox College","",""
"La Salle University","Delta Phi Epsilon",""
"La Salle University","Alpha Sigma Tau",""
"La Salle University","Gamma Phi Beta",""
"La Salle University","Phi Mu",""
"Lafayette College","Delta Delta Delta",""
"Lafayette College","Kappa Kappa Gamma",""
"Lafayette College","Alpha Phi",""
"Lafayette College","Delta Gamma",""
"Lafayette College","Pi Beta Phi",""
"Lafayette College","Alpha Gamma Delta",""
"LaGrange College","Phi Mu",""
"LaGrange College","Alpha Omicron Pi",""
"LaGrange College","Kappa Delta",""
"Lake Erie College","Gamma Phi Beta",""
"Lake Forest College","Alpha Kappa Alpha",""
"Lake Forest College","Delta Delta Delta",""
"Lake Forest College","Kappa Alpha Theta",""
"Lake Forest College","Delta Gamma",""
"Lake Forest College","Alpha Phi",""
"Lamar University","Alpha Kappa Alpha",""
"Lamar University","Alpha Chi Omega",""
"Lamar University","Zeta Phi Beta",""
"Lamar University","Alpha Delta Pi",""
"Lamar University","Sigma Gamma Rho",""
"Lamar University","Delta Sigma Theta",""
"Lamar University","Zeta Tau Alpha",""
"Lander University","Phi Mu",""
"Lander University","Zeta Phi Beta",""
"Lander University","Gamma Phi Beta",""
"Lander University","Zeta Tau Alpha",""
"Lander University","Delta Sigma Theta",""
"Lander University","Alpha Kappa Alpha",""
"Lane College","Delta Sigma Theta",""
"Lane College","Sigma Gamma Rho",""
"Lane College","Zeta Phi Beta",""
"Lane College","Alpha Kappa Alpha",""
"Lebanon Valley College","Alpha Sigma Tau",""
"Lebanon Valley College","Phi Sigma Sigma",""
"Lee University","Sigma Alpha Omega",""
"Lewis University","Zeta Phi Beta",""
"Lewis University","Sigma Gamma Rho",""
"Lewis University","Alpha Kappa Alpha",""
"Lewis University","Delta Sigma Theta",""
"Lewis University","Lambda Theta Alpha",""
"Liberty University","Chi Omega",""
"Liberty University","Alpha Xi Delta",""
"Lindenwood University","Alpha Kappa Alpha",""
"Lindenwood University","Delta Zeta",""
"Lindenwood University","Phi Sigma Sigma",""
"Lindenwood University","Delta Sigma Theta",""
"Lindenwood University","Sigma Gamma Rho",""
"Lindenwood University","Sigma Sigma Sigma",""
"Lindenwood University","Zeta Phi Beta",""
"Linfield University","Zeta Tau Alpha",""
"Linfield University","Alpha Phi",""
"Linfield University","Phi Sigma Sigma",""
"Livingstone College","Zeta Phi Beta",""
"Livingstone College","Sigma Gamma Rho",""
"Livingstone College","Delta Sigma Theta",""
"Livingstone College","Alpha Kappa Alpha",""
"Longwood University","Sigma Gamma Rho",""
"Longwood University","Delta Sigma Theta",""
"Longwood University","Alpha Sigma Tau",""
"Longwood University","Sigma Sigma Sigma",""
"Longwood University","Alpha Kappa Alpha",""
"Longwood University","Zeta Phi Beta",""
"Longwood University","Sigma Alpha Omega",""
"Longwood University","Alpha Delta Pi",""
"Longwood University","Sigma Kappa",""
"Longwood University","Alpha Sigma Alpha",""
"Longwood University","Alpha Gamma Delta",""
"Longwood University","Delta Zeta",""
"Longwood University","Kappa Delta",""
"Longwood University","Zeta Tau Alpha",""
"Loras College","Alpha Sigma Alpha",""
"Louisiana State University","","@sigmachilsu"
"Louisiana Tech University","Sigma Kappa",""
"Louisiana Tech University","Kappa Delta",""
"Louisiana Tech University","Alpha Chi Omega",""
"Louisiana Tech University","Phi Mu",""
"Louisiana Tech University","Delta Delta Delta",""
"Loyola Marymount University","Delta Delta Delta",""
"Loyola Marymount University","Kappa Alpha Theta",""
"Loyola Marymount University","Delta Sigma Theta",""
"Loyola Marymount University","Alpha Chi Omega",""
"Loyola Marymount University","Alpha Phi",""
"Loyola Marymount University","Delta Zeta",""
"Loyola Marymount University","Delta Gamma",""
"Loyola Marymount University","Pi Beta Phi",""
"Loyola Marymount University","Chi Delta Theta",""
"Loyola Marymount University","",""
"Loyola University Chicago","Kappa Beta Gamma",""
"Loyola University Chicago","Pi Beta Phi",""
"Loyola University Chicago","Alpha Kappa Alpha",""
"Loyola University Chicago","Kappa Kappa Gamma",""
"Loyola University Chicago","Alpha Sigma Alpha",""
"Loyola University Chicago","Chi Omega",""
"Loyola University Chicago","Alpha Delta Pi",""
"Loyola University Chicago","Phi Sigma Sigma",""
"Loyola University Chicago","Alpha Chi Omega",""
"Loyola University-Chicago","",""
"Lycoming College","Alpha Sigma Tau",""
"Lycoming College","Mu Sigma Upsilon",""
"Lycoming College","Alpha Xi Delta",""
"Lynn University","Theta Phi Alpha",""
"Lynn University","Sigma Sigma Sigma",""
"Lyon College","Alpha Xi Delta",""
"Lyon College","Phi Mu",""
"Maine Maritime Academy","",""
"Manhattan University","Sigma Delta Tau",""
"Marietta College","Sigma Kappa",""
"Marietta College","Chi Omega",""
"Marietta College","Alpha Xi Delta",""
"Marist College","Kappa Kappa Gamma",""
"Marist College","Alpha Sigma Tau",""
"Marist College","Sigma Sigma Sigma",""
"Marquette University","",""
"Mars Hill University","Sigma Alpha Omega",""
"Mars Hill University","Delta Zeta",""
"Massachusetts Institute of Technology","",""
"McDaniel College","Alpha Sigma Tau",""
"McDaniel College","Phi Mu",""
"McDaniel College","Phi Sigma Sigma",""
"McGill University","",""
"McKendree University","Sigma Sigma Sigma",""
"McNeese State University","Alpha Delta Pi",""
"McNeese State University","Sigma Gamma Rho",""
"McNeese State University","Delta Sigma Theta",""
"McNeese State University","Phi Mu",""
"McNeese State University","Chi Omega",""
"McNeese State University","Alpha Kappa Alpha",""
"McNeese State University","Zeta Phi Beta",""
"Mercer University","Zeta Phi Beta",""
"Mercer University","Delta Sigma Theta",""
"Mercer University","Phi Mu",""
"Mercer University","Chi Omega",""
"Mercer University","Alpha Gamma Delta",""
"Mercer University","Alpha Delta Pi",""
"Mercer University","Alpha Kappa Alpha",""
"Merrimack College","Alpha Sigma Tau",""
"Merrimack College","Theta Phi Alpha",""
"Merrimack College","Zeta Tau Alpha",""
"Methodist University","Alpha Delta Pi",""
"Metropolitan State University of Denver","Delta Sigma Theta",""
"Metropolitan State University of Denver","Phi Sigma Sigma",""
"Metropolitan State University of Denver","",""
"Metropolitan State University of Denver","Alpha Sigma Alpha",""
"Metropolitan State University of Denver","Sigma Sigma Sigma",""
"Miami University","Alpha Delta Pi",""
"Miami University","Delta Gamma",""
"Miami University","Gamma Phi Beta",""
"Miami University","Alpha Phi",""
"Miami University","Kappa Delta",""
"Miami University","Delta Phi Epsilon",""
"Miami University","Sigma Delta Tau",""
"Miami University","Sigma Gamma Rho",""
"Miami University","Pi Beta Phi",""
"Miami University","Alpha Gamma Delta",""
"Miami University","Kappa Kappa Gamma",""
"Miami University","Delta Delta Delta",""
"Miami University","Chi Omega",""
"Miami University","Zeta Phi Beta",""
"Miami University","Delta Sigma Theta",""
"Miami University","Alpha Epsilon Phi",""
"Miami University","Alpha Kappa Alpha",""
"Miami University","Phi Mu",""
"Miami University","Phi Sigma Sigma",""
"Miami University","Alpha Xi Delta",""
"Miami University","Delta Zeta",""
"Miami University","","@miamiu sigmachi"
"Miami University","Alpha Omicron Pi",""
"Miami University","Zeta Tau Alpha",""
"Miami University","Kappa Alpha Theta",""
"Miami University","Alpha Chi Omega",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","",""
"Michigan State University","","@msu_sigmachi"
"Michigan State University","",""
"Michigan Technological University","Alpha Sigma Tau",""
"Michigan Technological University","Delta Phi Epsilon",""
"Michigan Technological University","Alpha Gamma Delta",""
"Michigan Technological University","Alpha Xi Delta",""
"Michigan Technological University","Delta Zeta",""
"Middle Tennessee State University","Zeta Tau Alpha",""
"Middle Tennessee State University","Chi Omega",""
"Middle Tennessee State University","Alpha Kappa Alpha",""
"Middle Tennessee State University","Kappa Delta",""
"Middle Tennessee State University","Alpha Chi Omega",""
"Middle Tennessee State University","Omega Phi Alpha",""
"Middle Tennessee State University","",""
"Middle Tennessee State University","Delta Sigma Theta",""
"Middle Tennessee State University","Alpha Delta Pi",""
"Middle Tennessee State University","Zeta Phi Beta",""
"Middle Tennessee State University","Sigma Gamma Rho",""
"Middle Tennessee State University","Alpha Omicron Pi",""
"Midwestern State University","Delta Sigma Theta",""
"Midwestern State University","Alpha Kappa Alpha",""
"Midwestern State University","Chi Omega",""
"Midwestern State University","Gamma Phi Beta",""
"Midwestern State University","Alpha Phi",""
"Midwestern State University","Sigma Kappa",""
"Miles College","Delta Sigma Theta",""
"Miles College","Sigma Gamma Rho",""
"Miles College","Alpha Kappa Alpha",""
"Miles College","Zeta Phi Beta",""
"Millikin University","Alpha Chi Omega",""
"Millikin University","Pi Beta Phi",""
"Millikin University","Delta Sigma Theta",""
"Millikin University","Alpha Kappa Alpha",""
"Millikin University","Delta Delta Delta",""
"Millsaps College","Alpha Kappa Alpha",""
"Millsaps College","Delta Sigma Theta",""
"Millsaps College","Delta Delta Delta",""
"Millsaps College","Kappa Delta",""
"Millsaps College","Chi Omega",""
"Millsaps College","Phi Mu",""
"Minnesota State University Moorhead","",""
"Minnesota State University Moorhead","Delta Zeta",""
"Minnesota State University Moorhead","Gamma Phi Beta",""
"Minnesota State University-Mankato","",""
"Minnesota State University, Mankato","Sigma Sigma Sigma",""
"Minnesota State University, Mankato","Alpha Chi Omega",""
"Minnesota State University, Mankato","Gamma Phi Beta",""
"Minnesota State University, Mankato","Alpha Sigma Alpha",""
"Mississippi College","Zeta Phi Beta",""
"Mississippi College","Delta Sigma Theta",""
"Mississippi College","Alpha Kappa Alpha",""
"Mississippi State University","","@msusigmachi"
"Mississippi State University","Sigma Gamma Rho",""
"Mississippi State University","Zeta Phi Beta",""
"Mississippi State University","Delta Sigma Theta",""
"Mississippi State University","Alpha Kappa Alpha",""
"Mississippi State University","Delta Delta Delta",""
"Mississippi State University","Delta Gamma",""
"Mississippi State University","Phi Mu",""
"Mississippi State University","Kappa Delta",""
"Mississippi State University","Pi Beta Phi",""
"Mississippi State University","Alpha Delta Pi",""
"Mississippi State University","Zeta Tau Alpha",""
"Mississippi State University","Chi Omega",""
"Missouri Southern State University","Alpha Sigma Alpha",""
"Missouri Southern State University","Zeta Tau Alpha",""
"Missouri State University","Delta Sigma Theta",""
"Missouri State University","Zeta Phi Beta",""
"Missouri State University","Alpha Chi Omega",""
"Missouri State University","Gamma Phi Beta",""
"Missouri State University","Alpha Delta Pi",""
"Missouri State University","Alpha Omicron Pi",""
"Missouri State University","Sigma Kappa",""
"Missouri State University","Sigma Sigma Sigma",""
"Missouri State University","Delta Zeta",""
"Missouri State University","",""
"Missouri State University","Delta Delta Delta",""
"Missouri State University","Alpha Phi",""
"Missouri State University","Alpha Xi Delta",""
"Missouri State University","Kappa Beta Gamma",""
"Missouri State University","Phi Mu",""
"Missouri State University","Alpha Sigma Alpha",""
"Missouri University of Science and Technology","Phi Sigma Rho",""
"Missouri University of Science and Technology","Kappa Delta",""
"Missouri University of Science and Technology","Chi Omega",""
"Missouri University of Science and Technology","Zeta Tau Alpha",""
"Missouri Western State University","Delta Sigma Theta",""
"Missouri Western State University","Zeta Phi Beta",""
"Missouri Western State University","Alpha Gamma Delta",""
"Missouri Western State University","Alpha Sigma Alpha",""
"Missouri Western State University","Sigma Sigma Sigma",""
"MIT","Alpha Epsilon Phi",""
"MIT","Delta Phi Epsilon",""
"MIT","Pi Beta Phi",""
"MIT","Sigma Kappa",""
"MIT","Alpha Chi Omega",""
"MIT","Kappa Alpha Theta",""
"MIT","",""
"MIT","Alpha Omicron Pi",""
"MIT","Alpha Phi",""
"MIT","Zeta Phi Beta",""
"MIT","Alpha Kappa Alpha",""
"MIT","Sigma Gamma Rho",""
"MIT","Delta Sigma Theta",""
"MIT","Delta Gamma",""
"MIT","Gamma Phi Beta",""
"Monmouth College","Alpha Omicron Pi",""
"Monmouth College","Zeta Tau Alpha",""
"Monmouth College","Alpha Sigma Tau",""
"Monmouth College","Phi Sigma Sigma",""
"Monmouth College","Alpha Kappa Alpha",""
"Monmouth College","Kappa Kappa Gamma",""
"Monmouth College","Alpha Xi Delta",""
"Monmouth College","Pi Beta Phi",""
"Monmouth College","Delta Phi Epsilon",""
"Montana State University","Alpha Gamma Delta",""
"Montana State University","Alpha Omicron Pi",""
"Montana State University","Pi Beta Phi",""
"Montana State University","Chi Omega",""
"Montana State University","",""
"Montclair State University","Sigma Lambda Upsilon",""
"Montclair State University","Lambda Theta Alpha",""
"Montclair State University","Alpha Kappa Alpha",""
"Montclair State University","Delta Sigma Theta",""
"Montclair State University","Zeta Phi Beta",""
"Montclair State University","Sigma Gamma Rho",""
"Montclair State University","Lambda Tau Omega",""
"Montclair State University","Delta Phi Epsilon",""
"Montclair State University","Phi Sigma Sigma",""
"Montclair State University","Sigma Sigma Sigma",""
"Montclair State University","Sigma Delta Tau",""
"Montclair State University","Theta Phi Alpha",""
"Moravian University","Zeta Tau Alpha",""
"Moravian University","Alpha Sigma Alpha",""
"Moravian University","Alpha Sigma Tau",""
"Moravian University","Sigma Sigma Sigma",""
"Morehead State University","Alpha Kappa Alpha",""
"Morehead State University","Sigma Gamma Rho",""
"Morehead State University","Delta Gamma",""
"Morehead State University","Sigma Sigma Sigma",""
"Morehead State University","Kappa Delta",""
"Morehead State University","Delta Zeta",""
"Morehead State University","Chi Omega",""
"Morehead State University","Gamma Phi Beta",""
"Morehead State University","Delta Sigma Theta",""
"Morgan State University","Alpha Kappa Alpha",""
"Morgan State University","Sigma Gamma Rho",""
"Morgan State University","Delta Sigma Theta",""
"Mount Royal University","",""
"Muhlenberg College","Theta Nu Xi",""
"Muhlenberg College","Delta Zeta",""
"Muhlenberg College","Phi Sigma Sigma",""
"Muhlenberg College","Alpha Chi Omega",""
"Muhlenberg College","Phi Mu",""
