College,Fraternity,Instagram Handle,State,Instagram URL,Followers
Abraham Baldwin Agricultural College,Lambda Sigma Upsilon,https://www.instagram.com/abac.upsilons/,GA,https://www.instagram.com/abac.upsilons/,
Abraham Baldwin Agricultural College,Alpha Gamma Rho,,GA,,
Abraham Baldwin Agricultural College,Kappa Sigma,,GA,,
Academy of Art University,Kappa Sigma,,CA,,
Adelphi University,Kappa Sigma,https://www.instagram.com/AUKappaSigma/,NY,https://www.instagram.com/AUKappaSigma/,
Adelphi University,Delta Chi,https://www.instagram.com/deltachiadelphi/,NY,https://www.instagram.com/deltachiadelphi/,
Adelphi University,Pi Lambda Phi,,NY,,
Adelphi University,Phi Sigma Kappa,,NY,,
Adelphi University,Tau Kappa Epsilon,,NY,,
Adelphi University,Alpha Sigma Phi,,NY,,
Adelphi University,Zeta Beta Tau,,NY,,
Adrian College,Alpha Tau Omega,,MI,,
Adrian College,Theta Chi,,MI,,
Adrian College,Sigma Alpha Epsilon,,MI,,
Adrian College,Tau Kappa Epsilon,,MI,,
Adrian College,Phi Kappa Sigma,,MI,,
Alabama A&M University,Kappa Alpha Psi,,AL,,
Alabama A&M University,Omega Psi Phi,,AL,,
Alabama A&M University,Phi Beta Sigma,,AL,,
Alabama A&M University,Alpha Phi Alpha,,AL,,
Albany State University,Kappa Alpha Psi,,GA,,
Albany State University,Omega Psi Phi,,GA,,
Albany State University,Phi Beta Sigma,,GA,,
Albany State University,Alpha Phi Alpha,,GA,,
Albany State University,Iota Phi Theta,,GA,,
Albion College,Delta Tau Delta,https://www.instagram.com/albiondtd/,MI,https://www.instagram.com/albiondtd/,
Albion College,Sigma Chi,https://www.instagram.com/sigmachi_albion/?hl=en,MI,https://www.instagram.com/sigmachi_albion/?hl=en,
Albion College,Tau Kappa Epsilon,@albiontke,MI,instagram.com/albiontke,
Albion College,Delta Sigma Phi,@deltsig_albion,MI,instagram.com/deltsig_albion,
Albion College,Alpha Tau Omega,,MI,,
Albion College,Sigma Nu,,MI,,
Albright College,Sigma Alpha Epsilon,https://www.instagram.com/sae_albright/,PA,https://www.instagram.com/sae_albright/,
Albright College,Alpha Sigma Phi,@alphasig_ac,PA,instagram.com/alphasig_ac,
Albright College,Pi Kappa Phi,,PA,,
Alcorn State University,Phi Beta Sigma,@alphazetachapter,MS,instagram.com/alphazetachapter,
Alcorn State University,Kappa Alpha Psi,@gpi_nupes1949,MS,instagram.com/gpi_nupes1949,
Alcorn State University,Omega Psi Phi,,MS,,
Alcorn State University,Alpha Phi Alpha,,MS,,
Alcorn State University,Iota Phi Theta,,MS,,
Allegheny College,Phi Delta Theta,https://www.instagram.com/acphidelt/,PA,https://www.instagram.com/acphidelt/,
Allegheny College,Delta Tau Delta,https://www.instagram.com/allegheny_delts/,PA,https://www.instagram.com/allegheny_delts/,
Allegheny College,Sigma Alpha Epsilon,https://www.instagram.com/allegheny.sae/,PA,https://www.instagram.com/allegheny.sae/,
Allegheny College,Phi Kappa Psi,https://www.instagram.com/phipsiallegheny/,PA,https://www.instagram.com/phipsiallegheny/,
Allegheny College,Theta Chi,https://www.instagram.com/thetachiac/,PA,https://www.instagram.com/thetachiac/,
Allegheny College,Phi Gamma Delta,https://www.instagram.com/allegheny_fiji/?hl=en,PA,https://www.instagram.com/allegheny_fiji/?hl=en,
Allen University,Phi Beta Sigma,@ausomesigmas,SC,instagram.com/ausomesigmas,
Allen University,Alpha Phi Alpha,,SC,,
Alma College,Sigma Chi,@sigmachi_thetanu,MI,instagram.com/sigmachi_thetanu,
Alma College,Theta Chi,,MI,,
Alma College,Tau Kappa Epsilon,,MI,,
Alma College,Sigma Alpha Epsilon,,MI,,
American International College,Kappa Alpha Psi,,MA,,
American International College,Phi Beta Sigma,,MA,,
American International College,Alpha Phi Alpha,,MA,,
American International College,Iota Phi Theta,,MA,,
American International College,Omega Psi Phi,,MA,,
American International College,Theta Chi,,MA,,
American University,Sigma Chi,https://www.instagram.com/ausigmachi/,DC,https://www.instagram.com/ausigmachi/,
American University,Alpha Epsilon Pi,@aepi_american,DC,instagram.com/aepi_american,
American University,Alpha Sigma Phi,@alphasigsau,DC,instagram.com/alphasigsau,
American University,Pi Kappa Alpha,@aupikes,DC,instagram.com/aupikes,
American University,Sigma Phi Epsilon,@ausigep,DC,instagram.com/ausigep,
American University,Kappa Alpha Psi,@kx_nupes,DC,instagram.com/kx_nupes,
American University,Sigma Alpha Epsilon,@saeamericanu,DC,instagram.com/saeamericanu,
American University,Sigma Alpha Mu,@sammydeltabeta,DC,instagram.com/sammydeltabeta,
American University,Zeta Psi,@zetapsiamerican,DC,instagram.com/zetapsiamerican,
American University,Phi Sigma Kappa,,DC,,
American University,Beta Theta Pi,,DC,,
American University,Delta Chi,,DC,,
American University,Zeta Beta Tau,,DC,,
American University,Delta Tau Delta,,DC,,
American University,Lambda Chi Alpha,,DC,,
American University,Alpha Tau Omega,,DC,,
American University,Kappa Sigma,,DC,,
American University,Phi Beta Sigma,,DC,,
American University,Pi Kappa Phi,,DC,,
American University,Tau Kappa Epsilon,,DC,,
Anderson University,Alpha Epsilon Pi,,SC,,
Anderson University,Alpha Phi Alpha,,SC,,
Angelo State University,Kappa Sigma,@asukappasigma,TX,instagram.com/asukappasigma,
Angelo State University,Lambda Chi Alpha,@asulambdachialpha,TX,instagram.com/asulambdachialpha,
Angelo State University,Pi Kappa Alpha,@asupikes,TX,instagram.com/asupikes,
Angelo State University,Kappa Delta Rho,,TX,,
Angelo State University,Tau Kappa Epsilon,,TX,,
Appalachian State University,Pi Kappa Alpha,https://www.instagram.com/appstatepikes/,NC,https://www.instagram.com/appstatepikes/,
Appalachian State University,Kappa Sigma,@appkappasigma,NC,instagram.com/appkappasigma,
Appalachian State University,Delta Sigma Phi,@appstatedeltasig,NC,instagram.com/appstatedeltasig,
Appalachian State University,Delta Chi,,NC,,
Appalachian State University,Sigma Nu,,NC,,
Appalachian State University,Phi Gamma Delta,,NC,,
Appalachian State University,Delta Tau Delta,,NC,,
Appalachian State University,Kappa Alpha Order,,NC,,
Appalachian State University,Sigma Alpha Epsilon,,NC,,
Appalachian State University,Alpha Sigma Phi,,NC,,
Appalachian State University,Alpha Tau Omega,,NC,,
Appalachian State University,Phi Sigma Kappa,,NC,,
Appalachian State University,Phi Kappa Tau,,NC,,
Appalachian State University,Pi Kappa Phi,,NC,,
Appalachian State University,Theta Chi,,NC,,
Appalachian State University,Tau Kappa Epsilon,,NC,,
Appalachian State University,Lambda Chi Alpha,,NC,,
Appalachian State University,Sigma Tau Gamma,,NC,,
Arizona State University,Kappa Sigma,https://www.instagram.com/kappasigmaasu/,AZ,https://www.instagram.com/kappasigmaasu/,
Arizona State University,Lambda Theta Phi,,AZ,,
Arizona State University,Theta Xi,,AZ,,
Arizona State University,Lambda Chi Alpha,,AZ,,
Arizona State University,Pi Kappa Alpha,,AZ,,
Arizona State University,Sigma Alpha Epsilon,,AZ,,
Arizona State University,Phi Delta Theta,,AZ,,
Arizona State University,Alpha Sigma Phi,,AZ,,
Arizona State University,Tau Phi Sigma,,AZ,,
Arizona State University,Theta Chi,,AZ,,
Arizona State University,Phi Gamma Delta,,AZ,,
Arizona State University,Sigma Pi,,AZ,,
Arizona State University,Sigma Tau Gamma,,AZ,,
Arizona State University,Delta Tau Delta,,AZ,,
Arizona State University,Acacia,,AZ,,
Arizona State University,Zeta Beta Tau,,AZ,,
Arizona State University,Phi Kappa Psi,,AZ,,
Arizona State University,Delta Sigma Phi,,AZ,,
Arizona State University,Pi Kappa Phi,,AZ,,
Arizona State University,Sigma Nu,,AZ,,
Arizona State University,Kappa Alpha Order,,AZ,,
Arizona State University,Delta Kappa Epsilon,,AZ,,
Arizona State University,Phi Kappa Tau,,AZ,,
Arizona State University,Alpha Kappa Lambda,,AZ,,
Arizona State University,Alpha Epsilon Pi,,AZ,,
Arizona State University,Phi Kappa Theta,,AZ,,
Arizona State University,Beta Theta Pi,,AZ,,
Arizona State University,Sigma Alpha Mu,,AZ,,
Arizona State University,Kappa Delta Rho,,AZ,,
Arizona State University,Phi Mu Alpha Sinfonia,,AZ,,
Arizona State University,Triangle,,AZ,,
Arizona State University,Sigma Phi Beta,,AZ,,
Arizona State University,Theta Delta Chi,,AZ,,
Arizona State University,Lambda Sigma Upsilon,,AZ,,
Arizona State University,Kappa Alpha Psi,,AZ,,
Arizona State University,Pi Alpha Phi,,AZ,,
Arizona State University,Alpha Phi Alpha,,AZ,,
Arizona State University,Gamma Zeta Alpha,,AZ,,
Arizona State University,Tau Epsilon Phi,,AZ,,
Arizona State University,Alpha Gamma Rho,,AZ,,
Arizona State University,Phi Beta Sigma,,AZ,,
Arizona State University,Alpha Delta Phi,,AZ,,
Arizona State University,Chi Phi,,AZ,,
Arizona State University,Delta Chi,,AZ,,
Arizona State University,Delta Upsilon,,AZ,,
Arizona State University,Phi Sigma Kappa,,AZ,,
Arizona State University,Sigma Phi Epsilon,,AZ,,
Arizona State University,Tau Kappa Epsilon,,AZ,,
Arkansas State University,Sigma Chi,https://www.instagram.com/astatesigmachi/?hl=en,AR,https://www.instagram.com/astatesigmachi/?hl=en,
Arkansas State University,Lambda Chi Alpha,,AR,,
Arkansas State University,Pi Kappa Alpha,,AR,,
Arkansas State University,Alpha Gamma Rho,,AR,,
Arkansas State University,Kappa Sigma,,AR,,
Arkansas State University,Tau Kappa Epsilon,,AR,,
Arkansas State University,Kappa Alpha Order,,AR,,
Arkansas State University,Alpha Phi Alpha,,AR,,
Arkansas State University,Sigma Pi,,AR,,
Arkansas State University,Phi Beta Sigma,,AR,,
Arkansas State University,Alpha Tau Omega,,AR,,
Arkansas State University,Kappa Alpha Psi,,AR,,
Arkansas State University,Omega Psi Phi,,AR,,
Arkansas Tech University,Kappa Alpha Order,,AR,,
Arkansas Tech University,Sigma Pi,,AR,,
Arkansas Tech University,Alpha Tau Omega,,AR,,
Arkansas Tech University,Kappa Sigma,,AR,,
Arkansas Tech University,Sigma Phi Epsilon,,AR,,
Arkansas Tech University,Alpha Gamma Sigma,,AR,,
Armstrong State University,Pi Kappa Alpha,,GA,,
Armstrong State University,Kappa Sigma,,GA,,
Ashland University,Tau Kappa Epsilon,,OH,,
Ashland University,Phi Kappa Psi,,OH,,
Ashland University,Phi Delta Theta,,OH,,
Ashland University,Kappa Sigma,,OH,,
Auburn University,Alpha Tau Omega,https://www.instagram.com/auburnato/,AL,https://www.instagram.com/auburnato/,
Auburn University,Lambda Chi Alpha,https://www.instagram.com/auburnlambdachi/,AL,https://www.instagram.com/auburnlambdachi/,
Auburn University,Phi Delta Theta,https://www.instagram.com/auburnphidelt/,AL,https://www.instagram.com/auburnphidelt/,
Auburn University,Sigma Chi,https://www.instagram.com/auburnsigmachi/?hl=en,AL,https://www.instagram.com/auburnsigmachi/?hl=en,
Auburn University,Phi Gamma Delta,https://www.instagram.com/aufiji/,AL,https://www.instagram.com/aufiji/,
Auburn University,Beta Theta Pi,https://www.instagram.com/beta_auburn/,AL,https://www.instagram.com/beta_auburn/,
Auburn University,Kappa Alpha Order,https://www.instagram.com/ka_auburn/,AL,https://www.instagram.com/ka_auburn/,
Auburn University,Pi Kappa Phi,,AL,https://www.instagram.com/auburnpikapp,
Auburn University,Theta Chi,,AL,https://www.instagram.com/thetachiau,
Auburn University,Sigma Pi,,AL,https://www.instagram.com/ausigmapi,
Auburn University,Tau Kappa Epsilon,,AL,https://www.instagram.com/tke_auburn,
Auburn University,Sigma Nu,https://www.instagram.com/auburnsigmanu/?hl=en,AL,#ERROR!,
Auburn University,Farmhouse,,AL,https://www.instagram.com/auburnphitau,
Auburn University,Phi Kappa Tau,,AL,https://www.instagram.com/auburnbyx,
Auburn University,Beta Upsilon Chi,,AL,https://www.instagram.com/auburnpike,
Auburn University,Pi Kappa Alpha,,AL,https://www.instagram.com/dtdauburn,
Auburn University,Delta Tau Delta,,AL,https://www.instagram.com/chiphiauburn,
Auburn University,Chi Phi,,AL,https://www.instagram.com/auburn_sae,
Auburn University,Sigma Alpha Epsilon,,AL,https://www.instagram.com/ausigtau,
Auburn University,Sigma Tau Gamma,,AL,https://www.instagram.com/auburndeltachi,
Auburn University,Delta Chi,,AL,#ERROR!,
Auburn University,Phi Sigma Kappa,https://www.instagram.com/auphisig/?hl=en,AL,https://www.instagram.com/auburn_agr,
Auburn University,Alpha Sigma Phi,,AL,https://www.instagram.com/auburndke,
Auburn University,Alpha Gamma Rho,,AL,https://www.instagram.com/auburnsigmakappa,
Auburn University,Delta Kappa Epsilon,,AL,https://www.instagram.com/kz_sigmas,
Auburn University,Kappa Sigma,,AL,https://www.instagram.com/phipsiauburn,
Auburn University,Phi Beta Sigma,,AL,https://www.instagram.com/auburnaepi,
Auburn University,Phi Kappa Psi,,AL,https://www.instagram.com/phipsiauburn,
Auburn University,Alpha Epsilon Pi,,AL,https://www.instagram.com/auburnlambdachi,
Auburn University,Omega Psi Phi,,AL,,
Auburn University,Kappa Alpha Psi,,AL,https://www.instagram.com/auburndeltasig,
Auburn University,Alpha Kappa Lambda,,AL,https://www.instagram.com/auburnsigep,
Auburn University,Alpha Phi Alpha,,AL,https://www.instagram.com/authetatxi,
Auburn University,Delta Sigma Phi,,AL,,
Auburn University,Sigma Phi Epsilon,,AL,https://www.instagram.com/auburnsigep,
Auburn University,Theta Xi,,AL,,
Auburn University Montgomery,Lambda Chi Alpha,,AL,,
Auburn University Montgomery,Alpha Phi Alpha,,AL,,
Auburn University Montgomery,Phi Beta Sigma,,AL,,
Auburn University Montgomery,Kappa Alpha Psi,,AL,,
Auburn University Montgomery,Sigma Alpha Epsilon,,AL,,
Austin Peay State University,Sigma Chi,https://www.instagram.com/apsusigmachi/?hl=en,TN,https://www.instagram.com/apsusigmachi/?hl=en,
Austin Peay State University,Pi Kappa Alpha,,TN,,
Austin Peay State University,Alpha Tau Omega,,TN,,
Austin Peay State University,Sigma Phi Epsilon,,TN,,
Austin Peay State University,Alpha Phi Alpha,,TN,,
Austin Peay State University,Kappa Alpha Order,,TN,,
Austin Peay State University,Alpha Gamma Rho,,TN,,
Austin Peay State University,Phi Gamma Delta,,TN,,
Austin Peay State University,Kappa Sigma,,TN,,
Austin Peay State University,Phi Beta Sigma,,TN,,
Babson College,Theta Chi,,MA,,
Babson College,Delta Tau Delta,,MA,,
Babson College,Sigma Phi Epsilon,,MA,,
Babson College,Alpha Epsilon Pi,,MA,,
Babson College,Tau Kappa Epsilon,,MA,,
Baker University,Delta Tau Delta,,KS,,
Baker University,Sigma Phi Epsilon,,KS,,
Baker University,Kappa Sigma,,KS,,
Baldwin Wallace University,Phi Kappa Tau,,OH,,
Baldwin Wallace University,Lambda Chi Alpha,,OH,,
Baldwin Wallace University,Sigma Phi Epsilon,,OH,,
Baldwin Wallace University,Pi Lambda Phi,,OH,,
Baldwin Wallace University,Alpha Phi Alpha,,OH,,
Baldwin Wallace University,Alpha Sigma Phi,,OH,,
Ball State University,Sigma Chi,https://www.instagram.com/ballstatesigmachi/?hl=en,IN,https://www.instagram.com/ballstatesigmachi/?hl=en,
Ball State University,Delta Tau Delta,,IN,,
Ball State University,Sigma Alpha Epsilon,,IN,,
Ball State University,Phi Gamma Delta,,IN,,
Ball State University,Alpha Tau Omega,,IN,,
Ball State University,Phi Sigma Kappa,,IN,,
Ball State University,Phi Kappa Psi,,IN,,
Ball State University,Sigma Nu,,IN,,
Ball State University,Phi Delta Theta,,IN,,
Ball State University,Lambda Chi Alpha,,IN,,
Ball State University,Sigma Phi Epsilon,,IN,,
Ball State University,Pi Kappa Phi,,IN,,
Ball State University,Alpha Phi Alpha,,IN,,
Ball State University,Kappa Alpha Psi,,IN,,
Ball State University,Phi Iota Alpha,,IN,,
Ball State University,Phi Beta Sigma,,IN,,
Ball State University,Theta Chi,,IN,,
Barry University,Alpha Delta Gamma,,FL,,
Barton College,Pi Kappa Phi,,NC,,
Barton College,Alpha Sigma Phi,,NC,,
Barton College,Sigma Phi Epsilon,,NC,,
Baylor University,Sigma Phi Epsilon,https://www.instagram.com/baylorsigep/,TX,https://www.instagram.com/baylorsigep/,
Baylor University,Sigma Chi,https://www.instagram.com/baylorsigmachi/?hl=en,TX,https://www.instagram.com/baylorsigmachi/?hl=en,
Baylor University,Kappa Alpha Order,,TX,https://www.instagram.com/baylor_ka,
Baylor University,Kappa Sigma,,TX,https://www.instagram.com/baylorkappasigma,
Baylor University,Delta Tau Delta,,TX,https://www.instagram.com/baylordelt,
Baylor University,Tau Kappa Epsilon,,TX,https://www.instagram.com/baylor_tke,
Baylor University,Sigma Alpha Epsilon,,TX,https://www.instagram.com/baylorsae,
Baylor University,Pi Kappa Phi,,TX,https://www.instagram.com/baylorpikapp,
Baylor University,Beta Theta Pi,,TX,https://www.instagram.com/baylor_fiji/?hl=en,
Baylor University,Phi Gamma Delta,,TX,,
Baylor University,Beta Upsilon Chi,,TX,,
Baylor University,Phi Delta Theta,,TX,,
Baylor University,Lambda Phi Epsilon,,TX,,
Baylor University,Alpha Tau Omega,,TX,,
Baylor University,Delta Epsilon Psi,,TX,,
Baylor University,Alpha Phi Alpha,,TX,,
Baylor University,Beta Kappa Gamma,,TX,,
Baylor University,Phi Beta Sigma,,TX,,
Baylor University,Phi Iota Alpha,,TX,,
Baylor University,Kappa Alpha Psi,,TX,,
Baylor University,Omega Psi Phi,,TX,,
Baylor University,Sigma Nu,,TX,,
Becker College,Alpha Phi Alpha,,MA,,
Bellarmine University,Alpha Delta Gamma,,KY,,
Belmont University,Phi Delta Theta,,TN,,
Belmont University,Phi Kappa Tau,,TN,,
Belmont University,Alpha Tau Omega,,TN,,
Belmont University,Kappa Alpha Psi,,TN,,
Belmont University,Phi Beta Sigma,,TN,,
Beloit College,Sigma Chi,https://www.instagram.com/sigmachialphazeta/?hl=en,WI,https://www.instagram.com/sigmachialphazeta/?hl=en,
Beloit College,Phi Kappa Psi,,WI,,
Beloit College,Tau Kappa Epsilon,,WI,,
Benedict College,Alpha Phi Alpha,,SC,,
Benedict College,Omega Psi Phi,,SC,,
Benedict College,Phi Beta Sigma,,SC,,
Benedict College,Iota Phi Theta,,SC,,
Benedict College,Kappa Alpha Psi,,SC,,
Bentley University,Sigma Chi,https://www.instagram.com/sigmachibentley/?hl=en,MA,https://www.instagram.com/sigmachibentley/?hl=en,
Bentley University,Delta Kappa Epsilon,,MA,,
Bentley University,Kappa Sigma,,MA,,
Bentley University,Alpha Epsilon Pi,,MA,,
Bentley University,Sigma Pi,,MA,,
Bentley University,Alpha Sigma Phi,,MA,,
Bethany College,Delta Tau Delta,,WV,,
Bethany College,Alpha Sigma Phi,,WV,,
Bethany College,Phi Kappa Tau,,WV,,
Bethany College,Beta Theta Pi,,WV,,
Bethany College,Sigma Nu,,WV,,
Bethel University,Phi Beta Sigma,,MN,,
Bethune-Cookman University,Alpha Phi Alpha,https://www.instagram.com/deltabetaalphas/,FL,https://www.instagram.com/deltabetaalphas/,
Bethune-Cookman University,Phi Beta Sigma,,FL,,
Bethune-Cookman University,Kappa Alpha Psi,,FL,,
Bethune-Cookman University,Omega Psi Phi,,FL,,
Bethune-Cookman University,Iota Phi Theta,,FL,,
Binghamton University,Sigma Chi,https://www.instagram.com/sigmachibinghamton/?hl=en,NY,https://www.instagram.com/sigmachibinghamton/?hl=en,
Binghamton University,Alpha Sigma Phi,@alphasigbing,NY,instagram.com/alphasigbing,
Binghamton University,Phi Beta Sigma,@binghamton_sigmas,NY,instagram.com/binghamton_sigmas,
Binghamton University,Alpha Epsilon Pi,@binghamtonaepi,NY,instagram.com/binghamtonaepi,
Binghamton University,Alpha Kappa Psi,@binghamtonakpsi,NY,instagram.com/binghamtonakpsi,
Binghamton University,Lambda Phi Epsilon,@binglambdas,NY,instagram.com/binglambdas,
Binghamton University,Kappa Sigma,@kappasigma_binghamton,NY,instagram.com/kappasigma_binghamton,
Binghamton University,Sigma Beta Rho,@sigrhobu,NY,instagram.com/sigrhobu,
Binghamton University,Pi Delta Psi,,NY,,
Binghamton University,Tau Alpha Upsilon,,NY,,
Binghamton University,Pi Lambda Phi,,NY,,
Binghamton University,Chi Phi,,NY,,
Binghamton University,Pi Kappa Alpha,,NY,,
Binghamton University,Theta Tau,,NY,,
Binghamton University,Alpha Phi Alpha,,NY,,
Binghamton University,Phi Kappa Psi,,NY,,
Binghamton University,Delta Epsilon Psi,,NY,,
Binghamton University,Delta Sigma Phi,,NY,,
Binghamton University,Zeta Psi,,NY,,
Binghamton University,Iota Nu Delta,,NY,,
Binghamton University,Zeta Beta Tau,,NY,,
Binghamton University,Phi Delta Epsilon,,NY,,
Binghamton University,Tau Epsilon Phi,,NY,,
Binghamton University,Sigma Alpha Epsilon,,NY,,
Binghamton University,Delta Chi,,NY,,
Binghamton University,Theta Chi,,NY,,
Binghamton University,Tau Kappa Epsilon,,NY,,
Binghamton University,Theta Delta Chi,,NY,,
Binghamton University,Delta Sigma Pi,,NY,,
Binghamton University,Pi Kappa Phi,,NY,,
Binghamton University,Sigma Alpha Mu,,NY,,
Binghamton University,Alpha Chi Rho,,NY,,
Binghamton University,Phi Iota Alpha,,NY,,
Binghamton University,Kappa Alpha Psi,,NY,,
Binghamton University,Lambda Sigma Upsilon,,NY,,
Binghamton University,Lambda Upsilon Lambda,,NY,,
Birmingham-Southern College,Sigma Chi,https://www.instagram.com/sigmachibsc/,AL,https://www.instagram.com/sigmachibsc/,
Birmingham-Southern College,Kappa Alpha Order,@ka_southal,AL,instagram.com/ka_southal,
Birmingham-Southern College,Sigma Alpha Epsilon,@sae_bsc,AL,instagram.com/sae_bsc,
Birmingham-Southern College,Sigma Nu,@sigmanu_bsc,AL,instagram.com/sigmanu_bsc,
Birmingham-Southern College,Zeta Beta Tau,,AL,,
Birmingham-Southern College,Alpha Tau Omega,,AL,,
Birmingham-Southern College,Theta Chi,,AL,,
Bloomfield College,Iota Phi Theta,,NJ,,
Bloomfield College,Lambda Sigma Upsilon,,NJ,,
Bloomfield College,Lambda Theta Phi,,NJ,,
Bloomfield College,Omega Psi Phi,,NJ,,
Bloomfield College,Phi Beta Sigma,,NJ,,
Bloomsburg University,Pi Lambda Phi,@pilambdaphibloom,PA,instagram.com/pilambdaphibloom,
Bloomsburg University,Alpha Tau Omega,https://www.instagram.com/ato_iotaomega/,PA,https://www.instagram.com/ato_iotaomega/,
Bloomsburg University,Kappa Delta Rho,https://www.instagram.com/kdr_bloomsburg/,PA,https://www.instagram.com/kdr_bloomsburg/,
Bloomsburg University,Tau Kappa Epsilon,https://www.instagram.com/bloomu_tke/?hl=en,PA,https://www.instagram.com/bloomu_tke/?hl=en,
Bloomsburg University,Lambda Chi Alpha,https://www.instagram.com/lambdachibloom/?hl=en,PA,https://www.instagram.com/lambdachibloom/?hl=en,
Bloomsburg University,Zeta Psi,https://www.instagram.com/zetapsi_bloomsburg/?hl=en,PA,https://www.instagram.com/zetapsi_bloomsburg/?hl=en,
Bloomsburg University,Alpha Phi Alpha,https://www.instagram.com/alphasig_bloom/?hl=en,PA,https://www.instagram.com/alphasig_bloom/?hl=en,
Bloomsburg University,Kappa Sigma,https://www.instagram.com/kappasigmabloomu/?hl=en,PA,https://www.instagram.com/kappasigmabloomu/?hl=en,
Bloomsburg University,Acacia,https://www.instagram.com/bloomsburgacacia/?hl=en,PA,https://www.instagram.com/bloomsburgacacia/?hl=en,
Bloomsburg University,Omega Psi Phi,,PA,,
Bloomsburg University,Phi Beta Sigma,https://www.instagram.com/phibetasigma_bu_km/,PA,https://www.instagram.com/phibetasigma_bu_km/,
Bloomsburg University,Alpha Chi Rho,https://www.instagram.com/bloomsburgaxp/,PA,https://www.instagram.com/bloomsburgaxp/,
Bloomsburg University,Alpha Sigma Phi,https://www.instagram.com/alphasig_bloom/?hl=en,PA,https://www.instagram.com/alphasig_bloom/?hl=en,
Bloomsburg University,Delta Chi,https://www.instagram.com/asa.deltachi/,PA,https://www.instagram.com/asa.deltachi/,
Bloomsburg University,Delta Kappa Epsilon,https://www.instagram.com/deltakappabloom/?hl=en,PA,https://www.instagram.com/deltakappabloom/?hl=en,
Bloomsburg University,Lambda Sigma Upsilon,,PA,,
Bloomsburg University,Tau Epsilon Phi,,PA,,
Boise State University,Sigma Chi,https://www.instagram.com/sigmachiboisestate/?hl=en,ID,https://www.instagram.com/sigmachiboisestate/?hl=en,
Boise State University,Pi Kappa Alpha,@boisestatepikes,ID,instagram.com/boisestatepikes,
Boise State University,Kappa Sigma,@kappasigmaboisestate,ID,instagram.com/kappasigmaboisestate,
Boise State University,Phi Gamma Delta,,ID,,
Boise State University,Tau Kappa Epsilon,,ID,,
Boise State University,Delta Sigma Phi,,ID,,
Boise State University,Delta Upsilon,,ID,,
Boise State University,Alpha Tau Omega,,ID,,
Boise State University,Pi Kappa Phi,,ID,,
Boise State University,Alpha Kappa Lambda,,ID,,
Boise State University,Sigma Lambda Beta,,ID,,
Boise State University,Phi Delta Theta,,ID,,
Boise State University,Lambda Chi Alpha,,ID,,
Boise State University,Lambda Theta Phi,,ID,,
Boise State University,Sigma Alpha Epsilon,,ID,,
Boston College,Sigma Chi,,MA,,
Boston College,Chi Phi,,MA,,
Boston College,Sigma Phi Epsilon,,MA,,
Boston College,Delta Lambda Phi,,MA,,
Boston College,Delta Tau Delta,,MA,,
Boston College,Kappa Sigma,,MA,,
Boston College,Lambda Chi Alpha,,MA,,
Boston College,Lambda Phi Epsilon,,MA,,
Boston College,Pi Kappa Alpha,,MA,,
Boston College,Zeta Beta Tau,,MA,,
Boston University,Sigma Chi,https://www.instagram.com/sigmachibu/?hl=en,MA,https://www.instagram.com/sigmachibu/?hl=en,
Boston University,Alpha Epsilon Pi,@buaepi,MA,instagram.com/buaepi,
Boston University,Lambda Chi Alpha,,MA,,
Boston University,Delta Tau Delta,,MA,,
Boston University,Chi Phi,,MA,,
Boston University,Zeta Beta Tau,,MA,,
Boston University,Kappa Sigma,,MA,,
Boston University,Sigma Beta Rho,,MA,,
Boston University,Phi Kappa Tau,,MA,,
Boston University,Pi Kappa Alpha,,MA,,
Boston University,Phi Iota Alpha,,MA,,
Boston University,Alpha Phi Alpha,,MA,,
Boston University,Alpha Sigma Phi,,MA,,
Boston University,Iota Nu Delta,,MA,,
Boston University,Lambda Phi Epsilon,,MA,,
Boston University,Sigma Alpha Epsilon,,MA,,
Boston University,Sigma Alpha Mu,,MA,,
Boston University,Sigma Phi Epsilon,,MA,,
Bowdoin College,Alpha Delta Phi,,ME,,
Bowdoin College,Chi Psi,,ME,,
Bowdoin College,Theta Delta Chi,,ME,,
Bowling Green State University,Sigma Chi,https://www.instagram.com/bgsigs/?hl=en,OH,https://www.instagram.com/bgsigs/?hl=en,
Bowling Green State University,Lambda Chi Alpha,@bglambdachi,OH,instagram.com/bglambdachi,
Bowling Green State University,Alpha Phi Alpha,@bgpharaohs1906,OH,instagram.com/bgpharaohs1906,
Bowling Green State University,Phi Delta Theta,@bgsuphidelts,OH,instagram.com/bgsuphidelts,
Bowling Green State University,Alpha Tau Omega,,OH,https://www.instagram.com/bgsu_ato,
Bowling Green State University,Alpha Sigma Phi,,OH,https://www.instagram.com/bgalphasigs,
Bowling Green State University,Delta Chi,,OH,https://www.instagram.com/deltachi_bg,
Bowling Green State University,Pi Kappa Alpha,,OH,https://www.instagram.com/tke_bgsu,
Bowling Green State University,Kappa Sigma,,OH,https://www.instagram.com/ksbgsu,
Bowling Green State University,Omega Psi Phi,,OH,,
Bowling Green State University,Tau Kappa Epsilon,,OH,,
Bowling Green State University,Delta Tau Delta,,OH,,
Bowling Green State University,Sigma Phi Epsilon,,OH,https://www.instagram.com/bgsigep,
Bowling Green State University,Phi Gamma Delta,,OH,,
Bowling Green State University,Sigma Alpha Epsilon,,OH,,
Bowling Green State University,Theta Chi,,OH,,
